reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.01,164
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.025,346
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.05,440
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.1,460
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.15,520
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.2,536
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.25,544
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.3,634
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.35,800
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.4,961
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.45,1117
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.5,1286
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.55,1441
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.6,1597
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.65,1758
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.7,1934
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.75,2142
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.8,2351
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.85,2592
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.9,2911
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.95,3363
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.975,3767
2025-09-27,wk inc flu hosp,1,2025-10-04,US,quantile,0.99,5899
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.01,406
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.025,610
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.05,902
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.1,990
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.15,1047
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.2,1048
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.25,1154
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.3,1237
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.35,1272
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.4,1275
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.45,1277
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.5,1332
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.55,1366
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.6,1415
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.65,1472
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.7,1515
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.75,1531
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.8,1730
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.85,1733
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.9,1745
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.95,1794
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.975,1807
2025-09-27,wk inc flu hosp,2,2025-10-11,US,quantile,0.99,7210
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.01,313
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.025,614
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.05,793
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.1,1010
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.15,1140
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.2,1249
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.25,1345
2025-09-27,wk inc flu hosp,3,2025-10-18,US,quantile,0.3,1455
